-0.22123,-218,-15,151,-1,-74,-65,0.4587,0.46732,-0.47841,0.99324,0.48148,-0.32254
-0.50568,2,-218,-15,151,-1,-74,-0.49038,0.4587,0.46732,-0.47841,0.99324,0.48148
-0.073529,-10.5,2,-218,-15,151,-1,0.43519,-0.49038,0.4587,0.46732,-0.47841,0.99324
1.2139,-54,-10.5,2,-218,-15,151,0.84983,0.43519,-0.49038,0.4587,0.46732,-0.47841
0.48201,45,-54,-10.5,2,-218,-15,0.36364,0.84983,0.43519,-0.49038,0.4587,0.46732
-0.24771,-5,45,-54,-10.5,2,-218,0.95816,0.36364,0.84983,0.43519,-0.49038,0.4587
-0.041667,-343,-5,45,-54,-10.5,2,-0.26636,0.95816,0.36364,0.84983,0.43519,-0.49038
-0.40476,-326,-343,-5,45,-54,-10.5,-0.90535,-0.26636,0.95816,0.36364,0.84983,0.43519
-0.69684,-47,-326,-343,-5,45,-54,0.76382,-0.90535,-0.26636,0.95816,0.36364,0.84983
0.10976,-1,-47,-326,-343,-5,45,0.82561,0.76382,-0.90535,-0.26636,0.95816,0.36364
