0.25,-46,-1,-47,-326,-343,-5,0.64411,0.82561,0.76382,-0.90535,-0.26636,0.95816
-0.36184,-328,-46,-1,-47,-326,-343,-0.33649,0.64411,0.82561,0.76382,-0.90535,-0.26636
1.4965,-246,-328,-46,-1,-47,-326,0.56228,-0.33649,0.64411,0.82561,0.76382,-0.90535
0.020468,-510,-246,-328,-46,-1,-47,0.082993,0.56228,-0.33649,0.64411,0.82561,0.76382
0.14063,9,-510,-246,-328,-46,-1,0.094996,0.082993,0.56228,-0.33649,0.64411,0.82561
-0.18354,-43,9,-510,-246,-328,-46,0.066971,0.094996,0.082993,0.56228,-0.33649,0.64411
-0.5,-85,-43,9,-510,-246,-328,0.0023828,0.066971,0.094996,0.082993,0.56228,-0.33649
-0.46049,-326,-85,-43,9,-510,-246,-0.33611,0.0023828,0.066971,0.094996,0.082993,0.56228
-0.47771,-303,-326,-85,-43,9,-510,-0.96308,-0.33611,0.0023828,0.066971,0.094996,0.082993
0,-114,-303,-326,-85,-43,9,0.58242,-0.96308,-0.33611,0.0023828,0.066971,0.094996
